"file","row_key","column","value","r2","r3","r4"
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.0663305897014393,0.07,0.066,0.0663
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_reslow_of_res | reslow_of_res | TRUE | z_d_college_lesshs_rac_half:z_pct_reslow_of_res","std.error",0.0515621853452921,0.05,0.052,0.0516
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_reslow_of_res | reslow_of_res | TRUE | z_d_hisp_nonhisp_rac_half:z_pct_reslow_of_res","std.error",0.0714671682531794,0.07,0.071,0.0715
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.0663305897014393,0.07,0.066,0.0663
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.0746695672037254,0.07,0.075,0.0747
"co_exclusionary_measure_comparison.csv","ZB_pooled3_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.0546258105142133,0.05,0.055,0.0546
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","std.error",0.0323047480263556,0.03,0.032,0.0323
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_rank | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","std.error",0.027672343105931,0.03,0.028,0.0277
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_wins99 | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","std.error",0.0422495625862334,0.04,0.042,0.0422
"co_exclusionary_measure_comparison.csv","ZA_college_lesshs_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0460536843826651,0.05,0.046,0.0461
"co_exclusionary_measure_comparison.csv","ZA_hisp_nonhisp_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0449936461665319,0.04,0.045,0.045
"co_exclusionary_measure_comparison.csv","ZA_joint_college_lesshs | res_low | FALSE | z_pct_res_low","std.error",0.0816604831948287,0.08,0.082,0.0817
"co_exclusionary_measure_comparison.csv","ZA_joint_hisp_nonhisp | res_low | FALSE | z_pct_res_low","std.error",0.0776072217902658,0.08,0.078,0.0776
"co_exclusionary_measure_comparison.csv","ZA_joint_whiteblack | res_low | FALSE | z_pct_res_low","std.error",0.0504051407667071,0.05,0.05,0.0504
"co_exclusionary_measure_comparison.csv","ZA_nodens_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0549094110772295,0.05,0.055,0.0549
"co_exclusionary_measure_comparison.csv","ZA_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0375377393685334,0.04,0.038,0.0375
"co_exclusionary_measure_comparison.csv","ZB_aspatial_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0325330110851397,0.03,0.033,0.0325
"co_exclusionary_measure_comparison.csv","ZB_cov50_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0402736449277156,0.04,0.04,0.0403
"co_exclusionary_measure_comparison.csv","ZB_horse_race_reslow_vs_transit | res_low | FALSE | z_pct_res_low","std.error",0.019794185451412,0.02,0.02,0.0198
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | res_low | FALSE | z_pct_res_low","std.error",0.0936397084074564,0.09,0.094,0.0936
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0414353348180473,0.04,0.041,0.0414
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0300176593329279,0.03,0.03,0.03
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0362986943155468,0.04,0.036,0.0363
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0414353348180473,0.04,0.041,0.0414
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_res_low | res_low | FALSE | z_pct_res_low","std.error",0.0438634518118305,0.04,0.044,0.0439
