"construction","primary","mode","form","spec","estimate","std.error","p.value","n_obs"
"rel_area|zero",FALSE,"auto","log1p","C_network",0.0100164179970144,0.0106486327326626,0.355552591507698,646
"rel_area|zero",FALSE,"auto","log1p","D_position_net",0.0904953454483179,0.0247190047956658,0.0011244762496246,646
"rel_area|zero",FALSE,"auto","log1p","ACCESSxSEG",-0.00403844174728041,0.0109551853791045,0.715386095470367,646
"rel_area|zero",FALSE,"transit","log","C_network",-0.0129756876259582,0.0138166663812212,0.357421212324628,517
"rel_area|zero",FALSE,"transit","log","D_position_net",0.0355964072573147,0.0190938287874624,0.0750947520625651,517
"rel_area|zero",FALSE,"transit","log","ACCESSxSEG",-0.0464264471112018,0.0113969757396113,0.00046853892906891,517
"rel_area|zero",FALSE,"transit","log_wins","C_network",0.00559323960539265,0.0265265509341486,0.834857869618601,517
"rel_area|zero",FALSE,"transit","log_wins","D_position_net",0.0475462566420646,0.0313328921073492,0.142777899374062,517
"rel_area|zero",FALSE,"transit","log_wins","ACCESSxSEG",-0.056623110267022,0.0277060969789548,0.0525996877574483,517
"rel_area|zero",FALSE,"transit","log_trim","C_network",0.0785121784886022,0.0378750121847023,0.0495667466080635,490
"rel_area|zero",FALSE,"transit","log_trim","D_position_net",0.0646069454092521,0.0206996295145414,0.00480047392793457,490
"rel_area|zero",FALSE,"transit","log_trim","ACCESSxSEG",0.0319885927105791,0.05471811331769,0.564503185647581,490
"rel_area|zero",FALSE,"transit","rank","C_network",0.0260116667470591,0.038833858030317,0.509642416244442,517
"rel_area|zero",FALSE,"transit","rank","D_position_net",0.120172767647791,0.0357301876109713,0.00268664751181037,517
"rel_area|zero",FALSE,"transit","rank","ACCESSxSEG",-0.092453936376724,0.0502221367068853,0.078573296052538,517
"rel_area|zero",FALSE,"transit","log1p","C_network",-0.133922880400591,0.0593065748972534,0.0325572557191711,646
"rel_area|zero",FALSE,"transit","log1p","D_position_net",0.00277566742945656,0.066252290076051,0.966902148726632,646
"rel_area|zero",FALSE,"transit","log1p","ACCESSxSEG",-0.232375162927482,0.0520528401556868,0.000138249595032554,646
"rel_area|missing",FALSE,"auto","log","C_network",0.0101201552337851,0.0106434665546079,0.350445164843408,646
"rel_area|missing",FALSE,"auto","log","D_position_net",0.0904883009629058,0.0246841136217753,0.00111045107572092,646
"rel_area|missing",FALSE,"auto","log","ACCESSxSEG",-0.00392494041912927,0.0109493662081498,0.722891271218806,646
"rel_area|missing",FALSE,"auto","log_wins","C_network",-0.114498607928419,0.0147197462095428,2.98193939670575e-08,646
"rel_area|missing",FALSE,"auto","log_wins","D_position_net",0.0124031295097793,0.0611794126550069,0.840921320307285,646
"rel_area|missing",FALSE,"auto","log_wins","ACCESSxSEG",-0.130771267354428,0.0185059713226683,1.66911194902513e-07,646
"rel_area|missing",FALSE,"auto","log_trim","C_network",-0.040844982255189,0.021297551338334,0.0661799309476324,644
"rel_area|missing",FALSE,"auto","log_trim","D_position_net",0.0643070296612596,0.0375933735882552,0.0990642320361141,644
"rel_area|missing",FALSE,"auto","log_trim","ACCESSxSEG",-0.0568403938616016,0.0204636764680817,0.0100257910419429,644
"rel_area|missing",FALSE,"auto","rank","C_network",-0.222814165136016,0.0662030493372592,0.00238239284800537,646
"rel_area|missing",FALSE,"auto","rank","D_position_net",-0.022568889453555,0.103945603975624,0.82980797545681,646
"rel_area|missing",FALSE,"auto","rank","ACCESSxSEG",-0.289218848317002,0.0626732958274196,9.29431550695707e-05,646
"rel_area|missing",FALSE,"auto","log1p","C_network",0.0100164179970144,0.0106486327326626,0.355552591507698,646
"rel_area|missing",FALSE,"auto","log1p","D_position_net",0.0904953454483179,0.0247190047956658,0.0011244762496246,646
"rel_area|missing",FALSE,"auto","log1p","ACCESSxSEG",-0.00403844174728041,0.0109551853791045,0.715386095470367,646
"rel_area|missing",FALSE,"transit","log","C_network",-0.0566912308518906,0.0304314166784126,0.0752948556394759,517
"rel_area|missing",FALSE,"transit","log","D_position_net",-0.0684505643145572,0.039960878992327,0.100174036510386,517
"rel_area|missing",FALSE,"transit","log","ACCESSxSEG",-0.0877691103173813,0.0265375541729427,0.00307526564791464,517
"rel_area|missing",FALSE,"transit","log_wins","C_network",-0.0525554333052622,0.0280849650271071,0.0740782065883767,517
"rel_area|missing",FALSE,"transit","log_wins","D_position_net",-0.0603828423384738,0.0382653220505503,0.128220629138608,517
"rel_area|missing",FALSE,"transit","log_wins","ACCESSxSEG",-0.0926597911662617,0.0259492067071938,0.00162188828623159,517
"rel_area|missing",FALSE,"transit","log_trim","C_network",-0.0169022720727227,0.0229279875678884,0.46846132784432,515
"rel_area|missing",FALSE,"transit","log_trim","D_position_net",-0.013737976296662,0.0181975759722416,0.457949626769549,515
"rel_area|missing",FALSE,"transit","log_trim","ACCESSxSEG",-0.0579906968086573,0.0105981472053342,1.45858265600638e-05,515
"rel_area|missing",FALSE,"transit","rank","C_network",-0.0638337844153081,0.0246620497721637,0.0164328971031514,517
"rel_area|missing",FALSE,"transit","rank","D_position_net",-0.0737574072934939,0.046446451453067,0.125937687135091,517
"rel_area|missing",FALSE,"transit","rank","ACCESSxSEG",-0.112958295754385,0.0278368552978768,0.000487200893628307,517
"rel_area|missing",FALSE,"transit","log1p","C_network",-0.0566866194021927,0.0304318891494545,0.075321234414076,517
"rel_area|missing",FALSE,"transit","log1p","D_position_net",-0.0684419467890737,0.0399636737862949,0.100236726774898,517
"rel_area|missing",FALSE,"transit","log1p","ACCESSxSEG",-0.0877728374475895,0.0265410983357782,0.0030774974891623,517
"rel_dominant|zero",FALSE,"auto","log","C_network",0.0101216751264743,0.0106465542900237,0.350511424596016,646
"rel_dominant|zero",FALSE,"auto","log","D_position_net",0.0903683605713856,0.0246745865257266,0.00112031640662235,646
"rel_dominant|zero",FALSE,"auto","log","ACCESSxSEG",-0.00386179761353461,0.0109449977034695,0.727055293446175,646
"rel_dominant|zero",FALSE,"auto","log_wins","C_network",-0.115004265555833,0.014648950427841,2.51382488513988e-08,646
"rel_dominant|zero",FALSE,"auto","log_wins","D_position_net",0.0118785631110483,0.0610526708207804,0.847247716232448,646
"rel_dominant|zero",FALSE,"auto","log_wins","ACCESSxSEG",-0.130749122781743,0.0183178281541092,1.40046824111052e-07,646
"rel_dominant|zero",FALSE,"auto","log_trim","C_network",-0.0410001963361765,0.0214294095577621,0.0667859572877134,644
"rel_dominant|zero",FALSE,"auto","log_trim","D_position_net",0.0640359575527327,0.0373988504419544,0.0987557808950459,644
"rel_dominant|zero",FALSE,"auto","log_trim","ACCESSxSEG",-0.0568457316048386,0.0204706416996614,0.0100420041683881,644
"rel_dominant|zero",FALSE,"auto","rank","C_network",-0.22526975433082,0.0670644932400866,0.00242235356296655,646
"rel_dominant|zero",FALSE,"auto","rank","D_position_net",-0.0244413255049056,0.10407632466368,0.816172293630425,646
"rel_dominant|zero",FALSE,"auto","rank","ACCESSxSEG",-0.28884599731837,0.061977520399644,8.2358739179756e-05,646
"rel_dominant|zero",FALSE,"auto","log1p","C_network",0.010017305490314,0.0106517960306526,0.355651200024983,646
"rel_dominant|zero",FALSE,"auto","log1p","D_position_net",0.0903750703383197,0.0247092636181274,0.00113440184847022,646
"rel_dominant|zero",FALSE,"auto","log1p","ACCESSxSEG",-0.00397586519090259,0.0109508025706979,0.719490644803026,646
"rel_dominant|zero",FALSE,"transit","log","C_network",-0.0299273567401689,0.0227957557989359,0.202183507169924,493
"rel_dominant|zero",FALSE,"transit","log","D_position_net",-0.0376118146351834,0.0232740879701627,0.119721453883525,493
"rel_dominant|zero",FALSE,"transit","log","ACCESSxSEG",-0.059078231773352,0.0246586751298409,0.0251106298656874,493
"rel_dominant|zero",FALSE,"transit","log_wins","C_network",-0.0514530554482844,0.0364054696145346,0.170949581411409,493
